id,name,technique_root,grade,desc,weight,condition,sect_id,effects
26,五雷正法,THUNDER,MIDDLE,役使五行之雷，刚猛霸道，无坚不摧。,1,,,"{""extra_battle_strength_points"": 3}"
28,燃血大法,EVIL,LOWER,燃烧精血，短暂爆发实力，事后虚弱。,1,,,"{extra_breakthrough_success_rate: -0.1, extra_cultivate_exp: 50, extra_battle_strength_points: 2}"
29,吸星大法,EVIL,MIDDLE,吸取他人内力为己用，霸道异常，常有反噬。,1,,,"{""extra_breakthrough_success_rate"": -0.1, ""extra_cultivate_exp"": 50, ""extra_battle_strength_points"": 3}"
30,草字剑诀,GOLD,UPPER,一株草斩尽日月星辰，完美世界三大剑诀之一。,10,,1,"{""extra_battle_strength_points"": 6}"
31,神剑御雷真诀,THUNDER,UPPER,九天玄刹，化为神雷。煌煌天威，以剑引之。,10,,1,"{""extra_battle_strength_points"": 6}"
32,大河剑意,FIRE,UPPER,君不见黄河之水天上来，奔流到海不复回。,10,,1,"{""extra_battle_strength_points"": 6}"
33,青帝长生诀,WOOD,UPPER,青帝所创，木系至高功法，生生不息，枯木逢春。,10,,2,"{""extra_battle_strength_points"": 5, ""extra_refine_success_rate"": 0.1}"
34,神象镇狱劲,EARTH,UPPER,以气引神，以神成象，举手投足，镇压地狱。,10,,2,"{""extra_battle_strength_points"": 6}"
35,鲲鹏宝术,EVIL,UPPER,入海为鲲，扶摇为鹏。阴阳变化，极速与吞噬。,10,,2,"{""extra_breakthrough_success_rate"": -0.1, ""extra_cultivate_exp"": 50, ""extra_battle_strength_points"": 6, ""extra_move_step"": 1}"
36,虚空经,WATER,UPPER,以无限虚空证道，掌控空间，先天立于不败。,10,,3,"{""extra_battle_strength_points"": 6}"
37,太上忘情录,ICE,UPPER,太上忘情，非无情，乃忘情。至公至正，威力无穷。,10,,3,"{""extra_battle_strength_points"": 6}"
38,逍遥游,WIND,UPPER,乘天地之正，而御六气之辩，以游无穷。,10,,3,"{""extra_battle_strength_points"": 6, ""extra_move_step"": 1}"
39,吞天魔功,DARK,UPPER,狠人大帝所创，吞噬万千体质，铸就混沌体。,10,,4,"{""extra_battle_strength_points"": 6}"
40,天魔策,EVIL,UPPER,魔门至高宝典，包罗万象，直指破碎虚空。,10,,4,"{""extra_breakthrough_success_rate"": -0.1, ""extra_cultivate_exp"": 50, ""extra_battle_strength_points"": 6}"
41,冥河真经,ICE,UPPER,血海不枯，冥河不死。演化四亿八千万血神子。,10,,4,"{""extra_battle_strength_points"": 6}"
42,焚诀,FIRE,UPPER,通过吞噬异火进化功法，潜力无限，号令万火。,10,,5,"{""extra_battle_strength_points"": 6, ""extra_cast_success_rate"": 0.1, ""extra_refine_success_rate"": 0.1}"
43,道心种魔大法,DARK,UPPER,以他人为炉鼎，种魔种，夺天地造化。,10,,5,"{""extra_battle_strength_points"": 6}"
44,大衍决,GOLD,UPPER,专修神识，能分心多用，操控万千傀儡。,10,,5,"{""extra_battle_strength_points"": 6}"
45,大乐赋,WATER,UPPER,阴阳大道，极乐飞升。双修之至高法门。,10,,6,"{""extra_battle_strength_points"": 6}"
46,天魔舞,DARK,UPPER,域外天魔之舞，勾魂摄魄，乱人心智。,10,,6,"{""extra_battle_strength_points"": 6}"
47,凌波微步,WIND,UPPER,体迅飞凫，飘忽若神，罗袜生尘。,10,,6,"{""extra_battle_strength_points"": 6, ""extra_escape_success_rate"": 0.2}"
48,过去弥陀经,EARTH,UPPER,神魂不灭，超脱彼岸。修成过去二竖，万劫不磨。,10,,7,"{""extra_battle_strength_points"": 6}"
49,神霄雷法,THUNDER,UPPER,道家雷法正宗，役使神霄天雷，诛邪灭魔。,10,,7,"{""extra_battle_strength_points"": 6}"
50,九字真言,GOLD,UPPER,临兵斗者皆阵列前行。道家无上咒法。,10,,7,"{""extra_battle_strength_points"": 6}"
51,幽冥鬼爪,DARK,UPPER,阴损毒辣，专破内家真气，触之即死。,10,,8,"{""extra_battle_strength_points"": 6}"
52,三千雷动,WIND,UPPER,身化雷霆，瞬息千里，残影重重。,10,,8,"{""extra_battle_strength_points"": 6}"
53,血神经,EVIL,UPPER,人皮为纸，鲜血为墨。修炼者必先剥皮噬血。,10,,8,"{""extra_breakthrough_success_rate"": -0.1, ""extra_cultivate_exp"": 50, ""extra_battle_strength_points"": 6}"
54,神机百炼,GOLD,UPPER,炼器极致，化腐朽为神奇，万物皆可为兵。,10,,9,"{""extra_battle_strength_points"": 4, ""extra_cast_success_rate"": 0.2}"
55,周天星斗大阵,EARTH,UPPER,引周天星力，演化宇宙洪荒，攻防一体。,10,,9,"{""extra_battle_strength_points"": 6}"
56,纵地金光,WIND,UPPER,阐教绝学，化作一道金光，瞬息万里。,10,,9,"{""extra_battle_strength_points"": 6, ""extra_move_step"": 2}"
