id,key,name,exclusion_keys,desc,rarity,condition,effects
32,SWORD_FANATIC,Sword Fanatic,LAZY;TIMID,"Entering the Dao through the sword, the sword is your life.",SR,,"[{when: 'avatar.weapon.type == ""SWORD""', extra_weapon_proficiency_gain: 1.0, extra_battle_strength_points: 3}]"
33,SCHEMING,Scheming,RASH;ENTHUSIASTIC;EXTROVERTED,"Hiding your true self, acting cautiously, and good at calculating.",R,,
34,LOYAL,Loyal,ALOOF;INDIFFERENT;MEAN,"Values promises and integrity, never betrays the person you've acknowledged.",R,,
35,RUTHLESS,Ruthless,FRIENDLY;ENTHUSIASTIC;TIMID,"Acts decisively and ruthlessly, leaving no future troubles.",N,,
36,REINCARNATOR,Reincarnator,FICKLE;CASUAL,"Having experienced a previous life, you have a vague premonition of the future.",SSR,,
37,SUSPICIOUS,Suspicious,ENTHUSIASTIC;EXTROVERTED;FRIENDLY,"Maintains suspicion towards anyone, does not easily trust.",N,,
38,BODY_CULTIVATOR,Body Cultivator,LIFE_CHERISHING;TIMID,"Focuses on physical tempering, with a strong physique and invincible in close combat.",R,,"[{when: 'avatar.weapon is None', extra_battle_strength_points: 5}]"
39,ALCHEMIST,Alchemist,AGGRESSIVE,"Proficient in the Way of Alchemy, sensitive to spiritual herbs.",R,,{extra_refine_success_rate: 0.15}
40,BLESSED_WITH_GOOD_FORTUNE,Blessed with Good Fortune,,"Naturally lucky, turning misfortune into good.",SR,,"{extra_fortune_probability: 0.01, shop_buy_price_reduction: 0.1}"
41,SWORD_CULTIVATOR,Sword Cultivator,LAZY,"Possesses a deep interest and unique talent for the Way of the Sword.",R,,"[{when: 'avatar.weapon.type == ""SWORD""', extra_weapon_proficiency_gain: 0.5, extra_battle_strength_points: 1}]"
42,SABER_CULTIVATOR,Saber Cultivator,LAZY,"Specializes in saber techniques, with a unique understanding of the Way of the Saber.",R,,"[{when: 'avatar.weapon.type == ""SABER""', extra_weapon_proficiency_gain: 0.5, extra_battle_strength_points: 1}]"
43,SPEAR_CULTIVATOR,Spear Cultivator,LAZY,"Proficient in spear techniques; with the king of all weapons in hand.",R,,"[{when: 'avatar.weapon.type == ""SPEAR""', extra_weapon_proficiency_gain: 0.5, extra_battle_strength_points: 1}]"
44,STAFF_CULTIVATOR,Staff Cultivator,LAZY,"With a staff in hand, the world is mine.",R,,"[{when: 'avatar.weapon.type == ""STAFF""', extra_weapon_proficiency_gain: 0.5, extra_battle_strength_points: 1}]"
45,MUSICAL_MASTER,Musical Master,LAZY,"Proficient in the Way of Music; with a zither or flute in hand.",SR,,"[{when: 'avatar.weapon.type == ""ZITHER"" or avatar.weapon.type == ""FLUTE""', extra_weapon_proficiency_gain: 1.0, extra_battle_strength_points: 3}]"
46,HIDDEN_WEAPON_EXPERT,Hidden Weapon Expert,LAZY,"Good at using hidden weapons, with mysterious and unpredictable moves.",R,,"[{when: 'avatar.weapon.type == ""HIDDEN_WEAPON""', extra_weapon_proficiency_gain: 0.5, extra_battle_strength_points: 1}]"
47,FAN_CULTIVATOR,Fan Cultivator,LAZY,"Proficient in fan techniques, showing elegance in every move.",R,,"[{when: 'avatar.weapon.type == ""FAN""', extra_weapon_proficiency_gain: 0.5, extra_battle_strength_points: 1}]"
48,WHIP_CULTIVATOR,Whip Cultivator,LAZY,"Proficient in whip techniques; with a soft weapon in hand.",R,,"[{when: 'avatar.weapon.type == ""WHIP""', extra_weapon_proficiency_gain: 0.5, extra_battle_strength_points: 1}]"
49,SABER_FANATIC,Saber Fanatic,LAZY;TIMID,"Entering the Dao through the saber, the saber is your life.",SR,,"[{when: 'avatar.weapon.type == ""SABER""', extra_weapon_proficiency_gain: 1.0, extra_battle_strength_points: 3}]"
50,SPEAR_FANATIC,Spear Fanatic,LAZY;TIMID,"Entering the Dao through the spear, the spear is your life.",SR,,"[{when: 'avatar.weapon.type == ""SPEAR""', extra_weapon_proficiency_gain: 1.0, extra_battle_strength_points: 3}]"
51,STAFF_SAINT,Staff Saint,LAZY;TIMID,"Entering the Dao through the staff, the staff is your life.",SR,,"[{when: 'avatar.weapon.type == ""STAFF""', extra_weapon_proficiency_gain: 1.0, extra_battle_strength_points: 3}]"
52,FAN_FANATIC,Fan Fanatic,LAZY;TIMID,"Entering the Dao through the fan, the fan is your life.",SR,,"[{when: 'avatar.weapon.type == ""FAN""', extra_weapon_proficiency_gain: 1.0, extra_battle_strength_points: 3}]"
53,WHIP_FANATIC,Whip Fanatic,LAZY;TIMID,"Entering the Dao through the whip, the whip is your life.",SR,,"[{when: 'avatar.weapon.type == ""WHIP""', extra_weapon_proficiency_gain: 1.0, extra_battle_strength_points: 3}]"
54,MASTER_ASSASSIN,Master Assassin,LAZY;TIMID,"The Way of Hidden Weapons has reached its peak, killing invisibly.",SR,,"[{when: 'avatar.weapon.type == ""HIDDEN_WEAPON""', extra_weapon_proficiency_gain: 1.0, extra_battle_strength_points: 3}]"
55,LUSTFUL,Lustful,DESIRELESS,"You have a strong craving for beauty.",N,,
56,DESIRELESS,Desireless,LUSTFUL,"You are pure-hearted and have no interest in matters between men and women.",N,,
57,EXPLORER,Explorer,HOMEBODY,"You are full of curiosity about the unknown world.",SR,,
58,HOMEBODY,Homebody,EXPLORER;ADVENTUROUS,"You are extremely reluctant to travel long distances.",N,,
59,JINX,Jinx,BLESSED_WITH_GOOD_FORTUNE;CHILD_OF_FORTUNE,"Born with bad luck, everything goes wrong.",N,,"{extra_misfortune_probability: 0.005, extra_item_sell_price_multiplier: -0.1}"
60,LATE_BLOOMER,Late Bloomer,,"Early cultivation was fraught with misfortune.",SR,,"[{when: 'avatar.cultivation_progress.realm.value in [""QI_REFINEMENT"", ""FOUNDATION_ESTABLISHMENT""]', extra_misfortune_probability: 0.005}, {when: 'avatar.cultivation_progress.realm.value in [""CORE_FORMATION"", ""NASCENT_SOUL""]', extra_fortune_probability: 0.01}]"
61,ARTIFACT_REFINER,Artifact Refiner,AGGRESSIVE,"Proficient in the Way of Artifact Refining.",R,,{extra_cast_success_rate: 0.15}
62,EMOTIONAL,Emotional,RATIONAL;INDIFFERENT,"Your emotions fluctuate greatly.",N,,
63,MINER,Miner,LAZY,"Good at prospecting and digging, with a unique intuition for lodes.",R,,{extra_mine_materials: 1}
64,STEADY,Steady,ADVENTUROUS;RASH;AGGRESSIVE,"You avoid risks and the spotlight.",R,,{extra_self_heal_efficiency: 0.5, extra_escape_success_rate: 0.1}
65,ENVIOUS_2,Envious,FRIENDLY;ENTHUSIASTIC,"Narrow-minded, unable to see others doing better than yourself.",N,,
