item_id,name,weapon_type,grade,desc,effects
1029,Shadowless Needle,HIDDEN_WEAPON,FOUNDATION_ESTABLISHMENT,"Fine as a cow's hair, coming and going without a trace, impossible to guard against.",{extra_battle_strength_points: 2}
1030,Ten Thousand Beasts Flute,FLUTE,FOUNDATION_ESTABLISHMENT,Specially made by the Baishou Sect; the flute sound can soothe or provoke beasts.,"[{extra_battle_strength_points: 1}, {when: 'avatar.spirit_animal is not None', extra_battle_strength_points: 2}]"
1031,Blood Drinker Mad Saber,SABER,FOUNDATION_ESTABLISHMENT,"The saber body is red, appearing to crave blood.",{extra_battle_strength_points: 2}
1032,Black Iron Heavy Sword,SWORD,FOUNDATION_ESTABLISHMENT,"Heavy sword without edge, great skill requires no craftsmanship, Dugu Qiubai's favorite.","{extra_battle_strength_points: 2, extra_max_hp: 100}"
1033,Ziwei Soft Sword,SWORD,FOUNDATION_ESTABLISHMENT,"Soft as a belt, moving like a spiritual snake.","{extra_battle_strength_points: 2, extra_escape_success_rate: 0.1}"
1034,Water and Fire Dragon Capturing Staff,STAFF,FOUNDATION_ESTABLISHMENT,"A standard weapon of the Zhenhun Sect, combining water and fire to trap enemies and lock souls.",{extra_battle_strength_points: 2}
1051,Green Bamboo Bee Cloud Sword,SWORD,CORE_FORMATION,"A set of flying swords containing evil-warding divine thunder, restraining all evil in the world.",{extra_battle_strength_points: 3}
1052,As-You-Will Iron Rod,STAFF,CORE_FORMATION,"The weapon of the Six-Eared Macaque, changing as desired, as large or small as one wishes.","{extra_battle_strength_points: 3, extra_observation_radius: 1}"
1053,Five Fires Seven Poultry Fan,FAN,CORE_FORMATION,"The fan surface features five fires including air fire, stone fire, and wood fire, turning things to ashes in one wave.","{extra_battle_strength_points: 3, extra_observation_radius: 2}"
1054,God Killer Spear,SPEAR,NASCENT_SOUL,"Surging killing intent, once stained with the blood of demon gods; the spear never returns once thrown.",{extra_battle_strength_points: '3 + avatar.weapon_proficiency * 0.02'}
1055,Red Point Spear,SPEAR,NASCENT_SOUL,"Red point spear, immortal shield, slaying all immortal kings and destroying nine heavens.","[{extra_battle_strength_points: 3}, {when: 'avatar.cultivation_progress.level >= 30', extra_battle_strength_points: 2, realm_suppression_bonus: 0.1}]"
1056,Immortal Slaying Flying Dagger,HIDDEN_WEAPON,CORE_FORMATION,"A trace of light hidden in a red gourd, with eyebrows and eyes. Please turn around, treasure, for gods and ghosts cannot escape.","{extra_battle_strength_points: 3, extra_observation_radius: 1, extra_escape_success_rate: 0.15}"
1057,Immortal Slaying Sword,SWORD,NASCENT_SOUL,"Neither copper, iron, nor steel, once hidden under Mount Sumeru. Sharp qi pierces directly into the nine heavens.","{extra_battle_strength_points: 4, realm_suppression_bonus: 0.1}"
1058,Gan Jiang and Mo Ye,SWORD,CORE_FORMATION,"Swords of true love, one female and one male, killing when separated, amorous when together.","{extra_battle_strength_points: 3, extra_max_hp: 150}"
1059,Plantain Fan,FAN,CORE_FORMATION,"Essence leaf of Taiyin; one wave stops fire, two waves create wind, three waves bring rain.","{extra_battle_strength_points: 3, extra_observation_radius: 2, extra_move_step: 1}"
1060,Purple Gold Demon Subduing Pestle,STAFF,CORE_FORMATION,"Wei Hu's weapon; although light and agile, it hits with the weight of Mount Tai.","{extra_battle_strength_points: 3, damage_reduction: 0.1}"
